id,code,name,street,zipcode,city
84161018036928618,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036929507,50591,Buysse Snacks Horeca,"Veldmeersstraat, 15",9270,Laarne
84161018036929602,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036931470,51016A03,Food and Drink,"Hasseltsesteenweg, 70 bus2",3800,Sint Truiden
84161018036931617,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036977347,12410,AB Catering Holstebro,Nybo Hoje 5,7500,Holstebro
84161018036977514,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036977590,14097,AB Catering Ribe A/S,Ole Romers Vej 6,6760,Ribe
84161018036977696,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036977894,12416,BC Catering Roskilde A/S,Langebjerg 17,4000,Roskilde
84161018036977982,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037057380,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037059550,14799,Havi Logistics d.o.o,Ugrinovacki put bb,11277,Ugrinovci
84161018036979178,12410,AB Catering Holstebro,Nybo Hoje 5,7500,Holstebro
84161018036979266,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037059681,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037061369,12407,AB Catering Aalborg A/S,Kystvejen 80,9400,Norresundby
84161018036998341,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036998509,FFSINT,Farm Frites Sint-Truiden BV,Nijverheidslaan 5430,3800,Sint Truiden
84161018037006063,50198A01,Horecagroothandel Brouwer,Dieselstraat 10,8263 AE,Kampen
84161018037006203,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037006268,50198A01,Horecagroothandel Brouwer,Dieselstraat 10,8263 AE,Kampen
84161018037006339,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037006500,10018A02,Combigro Helmink Foodservice,Zonnehorst 4,7207 BT,Zutphen
84161018037006603,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037038164,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037044411,14332,GDA SPA,Zona Ind. le Loc. S.Antuono,84035,Polla
84161018037044575,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037046459,10590A02,PD-Congelados Sul 5408,MARL - Plataforma do Rouco,2660-421,S. Juliao do Tojal
84161018037046617,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037047038,36664A03,Rebiffé p/a Stef Paris Distr,"2, Avenue du Viaduc",94550,Chevilly-Larue
84161018037047114,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037050505,20118A05,Stef BCN (Stock Gastrofresc),Polígon Cim Vallès,08130,S.Perpètua de Mogoda
84161018037050709,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037053132,70051A06,Transgourmet Traun,Rubenstrasse 1,4050,Traun
84161018037053265,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037057263,50724A04,DC ROTSELAER,WINGEPARK 10,3110,ROTSELAAR
84161018037061411,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037062903,10935A07,Legoland Mad & Drikke Aps,Højmarksvej 20,7190,Billund
84161018037062933,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037063335,72309,Mega Food GmbH,Haarlemer Straße 43 - 45,12359,Berlin
84161018037063507,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037063617,72182A04,Wagner GmbH & CO.KG,Esslinger strasse 2,73037,Göppingen
84161018037063804,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037063885,72201A01,Albrecht&Neiss GmbH,Am Wall 2-6,15366,Neuenhagen Berlin
84161018037063981,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037064652,72308A01,Frostland Ostwestfalen GmbH,Senefelderstrasse 9      RFS,33100,Paderborn
84161018037064738,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037064948,72209,Topak Fruchtimporte e.k.,"Am Winterhafen, 5",28217,BREMEN
84161018037065030,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037065138,72241A01,Selgros C&C Metjend./Wiefels,Schwarzer Weg,26215,Metjendorf/Wiefelst.
84161018037065328,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037065392,19051O45,Krankenaus Johanneum,Wildeshausen,27793,Wildeshausen
84161018037065547,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037065871,72295A03,Troiber GmbH & Co.KG,Vilshofener Straße 31    MAR,94544,Hofkirchen
84161018037066076,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037066473,70942,Lebensmittel Becker GmbH&Co,Schoeneweibergasse 107-109,64347,Griesheim
84161018037066544,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037067216,70171,Fuess GmbH Gastro ServiceMAR,Burgstrasse 1,87509,Immenstadt
84161018037067304,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037067649,70682,Moessle GmbH             MAR,Max-Eyth-Strasse 5,89340,Leipheim
84161018037067785,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037070696,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037061573,10938,BC Catering Aalborg A/S,reg. no. 230.755,9230,Svenstrup J
84161018037061753,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037237404,72078A01,Bei den Wiener Eisfabriken,Pasettistrasse 76,1200,Wien
84161018037233988,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037236669,50522,VDS Food Barchon,"rue Pres -Champs, 4",4671,Barchon
84161018037236806,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018038277541,70193,Stefri Frischeteam,Halper GmbH            MAR,7531,Kemeten
84161018036927142,50601,Duva Fruit nv,Kleine Konijnenboslaan 2,8470,Gistel
84161018036927244,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036928736,50557,I.L.I.S. sa,Rue des Hauts Fourneaux 8,6200,Chatelineau
84161018036928781,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036928898,50596,Delisalades SPRL,48 A Route de Neufchateau,6800,Libramont
84161018036929067,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036929164,50573A05,Van Zon Horeca NV,"J&R Vlegelstraat, 7",3920,Lommel
84161018036929284,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036929774,50557A04,ILIS,"avenue de Progres,  21",4432,Alleur
84161018036929826,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036930024,50724A09,DC ROTSELAER,WINGEPARK 10,3110,ROTSELAAR
84161018036930101,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036930239,50557A08,Groupe ILIS,"Krommebeekstraat, 34B",8930,MENEN
84161018036930320,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036930485,51076,Yildirim B.V.B.A.,"Koninginnelaan, 123A",3630,Maasmechelen
84161018036930652,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036978107,12415,BC Catering Grossisten A/S,Blaekhatten 10,5220,Odense SO
84161018036978237,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036978588,10936,BC Catering Skanderborg A/S,reg. no. 230.757,8660,Skanderborg
84161018036978730,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036980154,14172,AB Catering Kobenhavn A/S,Park Alle 362,2605,Brondby
84161018036980304,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036980389,14170A01,Inco CC Kobenhavn A/S,Ingerslevsgade 42,1711,Kobenhavn
84161018036980537,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037049540,20118A05,Stef BCN (Stock Gastrofresc),Polígon Cim Vallès,08130,S.Perpètua de Mogoda
84161018037049723,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037049794,20118A05,Stef BCN (Stock Gastrofresc),Polígon Cim Vallès,08130,S.Perpètua de Mogoda
84161018037049933,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036978408,12409,AB Catering Aarhus,Beta 1,8382,Hinnerup
84161018036978492,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036978888,12407,AB Catering Aalborg A/S,Kystvejen 80,9400,Norresundby
84161018036979026,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018036998541,35682,Le Rocher du Lion SARL(Surg),"5, Le Pont Neuf",44320,Saint-Pere-en-Retz
84161018036998706,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037007786,50253A03,Veldboer Eenhoorn,De Corantijn 32,1689 AP,Zwaag
84161018037007886,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037024185,72065A01,Knödel Connection GmbH,Großmarkthalle München,81371,München
84161018037024276,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037024479,72140A02,Frischdienst Lange GmbH RFS,Hörgensweg 6,22523,Hamburg
84161018037024583,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037038030,72128A03,Metro Deutschland GmbH,Seeberger Strasse 10,15345,Atlandsberg
84161018037044696,36613,Delpidis Magne,"154, av Louis Lépine",83600,Frejus
84161018037044805,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037047481,11984A03,S.A.G.I. Spa,Z.I.Sud Piano Lago,87050,Mangone (Cosenza)
84161018037047567,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037048277,35405A03,Pomona PF Tours  (Sodexo),ZA n°1 Du Papillon,37210,Parcay Meslay
84161018037048397,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037048818,11207A01,"General Food, S.p.A.",Via Cavour nr.139/A,25011,Calcinato
84161018037048920,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037051040,72133,Stritzinger Imp.- Exp. GmbH,Edt am Stömerberg 2,4673,Gaspoltshofen
84161018037051180,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037051353,70193,Stefri Frischeteam,Halper GmbH            MAR,7531,Kemeten
84161018037051495,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037051596,70193,Stefri Frischeteam,Halper GmbH            MAR,7531,Kemeten
84161018037051674,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037053625,70051A01,Transgourmet Salzburg,Gewerbehofstrasse 5,5071,Wals/Siezenheim
84161018037053808,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037053903,70051A09,Transgourmet Wien-Nord MAR,Sverigestrasse 11,1220,Wien
84161018037053969,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037055179,72291A01,Fruchtexpress Grabher GmbH,Sonnenbergstrasse 11,6820,Frastanz
84161018037055323,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
84161018037055481,70869A02,FRIGOLOGO Kuehllogistik GmbH,AVILO FRISCHE,2326,Maria Lanzendorf
84161018037055604,FRILOM,STOCKHABO,Maatheide 64,3920,Lommel
